"Nhom hang","Gia tri","Thang/Nam"
"Chi so gia tieu dung","100.32","2021-11-01"
"Chi so gia vang","102.65","2021-11-01"
"Chi so do la My","99.79","2021-11-01"
"Chi so gia tieu dung","99.99","2020-11-01"
"Chi so gia vang","100.87","2020-11-01"
"Chi so do la My","99.95","2020-11-01"
"Chi so gia tieu dung","100.96","2019-11-01"
"Chi so gia vang","99.37","2019-11-01"
"Chi so do la My","99.87","2019-11-01"
"Chi so gia tieu dung","99.71","2018-11-01"
"Chi so gia vang","100.98","2018-11-01"
"Chi so do la My","99.97","2018-11-01"
"Chi so gia tieu dung","100.13","2017-11-01"
"Chi so gia vang","99.7","2017-11-01"
"Chi so do la My","99.99","2017-11-01"
"Chi so gia tieu dung","100.48","2016-11-01"
"Chi so gia vang","98.88","2016-11-01"
"Chi so do la My","100.22","2016-11-01"
"Chi so gia tieu dung","100.07","2015-11-01"
"Chi so gia vang","99.39","2015-11-01"
"Chi so do la My","99.69","2015-11-01"
"Chi so gia tieu dung","99.73","2014-11-01"
"Chi so gia vang","98.51","2014-11-01"
"Chi so do la My","100.23","2014-11-01"
"Chi so gia tieu dung","100.34","2013-11-01"
"Chi so gia vang","98.96","2013-11-01"
"Chi so do la My","99.9","2013-11-01"
"Chi so gia tieu dung","100.12","2023-12-01"
"Chi so gia vang","103.98","2023-12-01"
"Chi so do la My","99.44","2023-12-01"
"Chi so gia tieu dung","99.99","2022-12-01"
"Chi so gia vang","100.45","2022-12-01"
"Chi so do la My","97.4","2022-12-01"
"Chi so gia tieu dung","99.82","2021-12-01"
"Chi so gia vang","100.25","2021-12-01"
"Chi so do la My","100.84","2021-12-01"
"Chi so gia tieu dung","100.1","2020-12-01"
"Chi so gia vang","99.17","2020-12-01"
"Chi so do la My","99.77","2020-12-01"
"Chi so gia tieu dung","101.4","2019-12-01"
"Chi so gia vang","99.64","2019-12-01"
"Chi so do la My","99.81","2019-12-01"
"Chi so gia tieu dung","99.75","2018-12-01"
"Chi so gia vang","100.41","2018-12-01"
"Chi so do la My","99.93","2018-12-01"
"Chi so gia tieu dung","100.21","2017-12-01"
"Chi so gia vang","99.88","2017-12-01"
"Chi so do la My","100.02","2017-12-01"
"Chi so gia tieu dung","100.23","2016-12-01"
"Chi so gia vang","97.48","2016-12-01"
"Chi so do la My","101.52","2016-12-01"
"Chi so gia tieu dung","100.02","2015-12-01"
"Chi so gia vang","97.2","2015-12-01"
"Chi so do la My","100.69","2015-12-01"
"Chi so gia tieu dung","99.76","2014-12-01"
"Chi so gia vang","99.95","2014-12-01"
"Chi so do la My","100.35","2014-12-01"
"Chi so gia tieu dung","100.51","2013-12-01"
"Chi so gia vang","96.67","2013-12-01"
"Chi so do la My","100.05","2013-12-01"
